Campus Hubs,bookmark,URL,Address,Description,Logo,Featured Text,Featured Link,Impact,Director Name (new),Other Point of Contact Name (new),Featured Photo,geometry,school_official,funding
Stanford Center for Racial Justice ,scrj,https://law.stanford.edu/stanford-center-for-racial-justice/,"559 Nathan Abbott Way, Stanford, CA 94305","The Stanford Center for Racial Justice (SCRJ) aims to advance justice for all people. Led by Professor Ralph Richard “Rick” Banks, BA ’87, the Center will train and prepare students to be in the vanguard of advancing a new racial norm.  Through publishing and teaching on timely issues, student engagement, service, and training, the Center will facilitate social change by providing research and collaboration on policy reforms to dismantle racism.",https://dl.airtable.com/.attachments/62e56e8865b3a833147ba41f1c3cc182/c08125c8/StanfordCenterforRacialJustice.png,The Stanford Center for Racial Justice is taking a hard look at the policies perpetuating systemic racism in America today and asking how we can imagine a more equitable society.,https://news.stanford.edu/report/2021/02/16/democracy-work-racial-inequalities-must-addressed/,"Law, Policy, & Justice, Identity & Human Rights",<a href = 'https://profiles.stanford.edu/ralph-banks' target='_blank'>Ralph Banks</a>,George H Brown (ghb341@law.stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
"Stanford Live, Bing Concert Hall, and Frost Amphitheater",live,https://live.stanford.edu/,"327 Lasuen Street, Stanford, CA 94305","Stanford Live was founded in 1969 as the performing arts presenter at Stanford University. We present up to 150 performances each season featuring classical, jazz, and world music, dance, theater, and multimedia. We also present an outdoor summer concert season with genres from classical to hip-hop. 

Our K-12 education and community engagement programs include student matinees and professional development workshops for K-12 teachers; interactive workshops, artist talks and performances on campus and at schools and community partner sites; and an artists-in-schools program in the Ravenswood City School District in nearby East Palo Alto.",https://dl.airtable.com/.attachments/26eaf8187783469641e81d32af87bd1b/e2f4a930/SL_h1_2c_cmyk.jpg,Stanford Live provides a broad range of free and low-cost programs that increase arts access for our community and offer many ways to engage with the performing arts.,https://live.stanford.edu/education-engagement,"Arts & Humanities, Recreation and Culture",Chris Lorway,"Michael Patrick Ryan (mikeryn@stanford.edu), Ben Frandzel (frandzel@stanford.edu)",NA,POINT (-122.166 37.43217),Vice President for the Arts,
Stanford Center for Professional Development ,scpd,https://scpd.stanford.edu/,"408 Panama Mall, Stanford, CA 94305","The Stanford Center for Professional Development has been a pioneer in online and extended education since its establishment in 1995, with roots that date back to 1954. Located on the Stanford University campus, its robust portfolio of courses and programs is developed by Stanford faculty, departments, schools, and centers. Its offerings include credit-bearing courses, certificates and degrees; professional education; group and custom programs, and free and open access content. The Stanford Center for Professional Development also operates Stanford Online and Stanford’s catalog of online offerings at online.stanford.edu.",https://dl.airtable.com/.attachments/0c5a5edb01b12a64dcabc08d18d4aecf/c5841d81/StanfordCenterforProfessionalDevelopment.png,"Stanford researcher sheds light on how complex, cross-boundary business collaborations succeed",https://scpd.stanford.edu/news-insights/news/stanford-researcher-sheds-light-how-complex-cross-boundary-business,Education,<a href = 'https://profiles.stanford.edu/thomas-kenny' target='_blank'>Thomas Kenny</a>,SCPD General Inquiries (scpd-information@stanford.edu),https://dl.airtable.com/.attachments/32c20a9e1007a9801f907fdcfc5f8e60/8cb0d03d/business-collaboration-Stanford.jpg,POINT (-122.1726 37.42611),School of Engineering,
Mills Legal Clinic: Youth and Education Law Project,mills_youth,https://law.stanford.edu/youth-and-education-law-project/,"559 Nathan Abbott Way, Stanford, CA 94305","Stanford Law School students have the opportunity to take part in a dynamic blend of education law work – such as school reform litigation, policy advocacy, strategic policy research and consulting, and direct client services – through the Youth and Education Law Project of the Mills Legal Clinic. Under the direction of Professor Bill Koski (PhD ’03) and Legal Assistant Joanne Newman, clinic students not only have the opportunity to develop an array of professional skills and capacities, they develop those skills and capacities in a rigorous, reflective, and immersive environment. Through their hands-on work and case ownership, students practice and hone critical lawyering skills such as client interviewing and counseling, fact investigation, theory development and refinement, successful negotiation planning and execution, oral and written advocacy techniques, and a plethora of other case planning, development, and management strategies and skills. Equally important, while YELP recognizes the potential to bring about reform through litigation and direct services, students in YELP also learn an array of strategies to achieve equality of educational opportunity.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"Read more about the YELP's projects, cases and featured work on the Mills Legal Clinic blog.",https://law.stanford.edu/youth-and-education-law-project/#slsnav-projects-cases,"Law, Policy, & Justice, Education",<a href = 'https://profiles.stanford.edu/william-koski' target='_blank'>William Koski</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
YouCubed,youcubed,https://www.youcubed.org,"485 Lasuen Mall, Stanford, CA 94305","Our main goal is to inspire, educate and empower teachers of mathematics, transforming the latest research on maths learning into accessible and practical forms.",https://dl.airtable.com/.attachments/7cf5cf47e3f777f705c53a25ccd41c60/dad8dbad/youcubed-logo-with-TM-Computer-Courage.png,Watch a 3 minute video showing what happens when math changes to the youcubed approach!,https://player.vimeo.com/video/245472639,Education,<a href = 'https://profiles.stanford.edu/jo-boaler' target='_blank'>Jo Boaler</a>,Suzanne Corkins (suzanne.corkins@stanford.edu),NA,POINT (-122.1683 37.42646),Graduate School of Education,
Mills Legal Clinic: Immigrants' Rights Clinic,mills_immigrants,https://law.stanford.edu/immigrants-rights-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","Students in the Immigrants’ Rights Clinic have full responsibility for defending clients against deportation in San Francisco Immigration Court, the Board of Immigration Appeals, and the federal courts of appeals. As part of that work, students write complex legal briefs, argue cases, conduct fact investigation, interview witnesses and clients, and represent clients in mini-trials. Students also engage in cutting-edge litigation and advocacy in partnership with local and national immigrants’ rights organizations.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"Read more about our work and cases on individuals facing deportation, appeals and impact.",https://law.stanford.edu/immigrants-rights-clinic/#slsnav-our-cases,"Law, Policy, & Justice, Identity & Human Rights",<a href = 'https://profiles.stanford.edu/jayashri-srikantiah' target='_blank'>Jayashri Srikantiah</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Stanford Big Local News,biglocal,https://jdi.stanford.edu/#big-local,"450 Jane Stanford Way, Building 120, Stanford, CA 94305","Computational journalist Cheryl Phillips leads Big Local News, which collects, processes and shares governmental data that are hard to obtain and difficult to analyze; partners with local and national newsrooms on investigative projects across a range of topics; and makes it easy to teach best practices for finding stories within the data. Among other projects, the team of Stanford faculty, data journalists, students and researchers is doing work to inform the public about disparities in criminal justice, environmental and economic impacts of forest fires, local government accountability through audits, the integrity of elections at the state level, and root causes of out-of-reach home prices in local markets.",https://dl.airtable.com/.attachments/82b47fc99391a7d41163cd0a7909297a/83c49f34/StanfordBigLocalNews.png,"Data, tools and collaborations that empower journalists to better cover their community. ",https://biglocalnews.org/#/login,Media and Technology,<a href = 'https://profiles.stanford.edu/james-hamilton' target='_blank'>James Hamilton</a>,Cheryl Phillips (cep3@stanford.edu),NA,POINT (-122.1694 37.42835),School of Humanities & Sciences,
John W. Gardner Center for Youth Their Communities,gardner,https://gardnercenter.stanford.edu/who-we-are,"505 Lasuen Mall, Stanford, CA 94305","The Gardner Center’s goal: to improve and strengthen the well-being of youth. We engage in research-practice partnerships to produce research that informs policy and practice and emphasizes the importance of equity and capacity building in youth-serving organizations. Research-practice partnerships develop our understanding of the challenges our partners face and the context in which they work. In turn, partners develop their ability to use data and evidence to improve their practice.",https://dl.airtable.com/.attachments/c8e4a03dbbb45342b55c554aff4f9401/707a7da3/JohnW.GardnerCenterforYouthTheirCommunities.png,Stanford deepens long history of supporting local students’ mental health and well-being,"https://news.stanford.edu/2021/10/21/stanford-deepens-long-history-supporting-local-students-mental-health-well/#:~:text=Stanford%20deepens%20long%20history%20of,mental%20health%20and%20well%2Dbeing&text=This%20has%20included%20clinical%20expertise,data%20to%20inform%20continuous%20improvement.","Education, Equity or Socioeconomic Issues, Health",<a href = 'https://profiles.stanford.edu/thomas-dee' target='_blank'>Thomas Dee</a>,"Amy Gerstein  (gerstein@stanford.edu), Kristin Geiser (kgeiser@stanford.edu)",https://dl.airtable.com/.attachments/8d284b01c3eff97a8317c2c2ff0d74c5/66121eee/Art_Music_Gardner_Center.jpg,POINT (-122.1688 37.42577),Graduate School of Education,
Office of Diversity in Medical Education ,diversitymedical,https://med.stanford.edu/odme.html,"1265 Welch Road, Suite 100
Stanford, CA 94305","Stanford Medicine is committed to cultivating and sustaining an environment that fosters the development of diverse physician leaders who are committed to eliminating the nation’s health inequities through patient care, education, research, and advocacy.  We recognize that changes are needed to invest in the infrastructure for building a diverse medical workforce, amplify the core tenants necessary for an inclusive community, and advocate for equity to support individuals from communities that are currently underrepresented in medicine.  ",https://dl.airtable.com/.attachments/19a4b30ce9c8fceb60a3ce98ea1f95c3/e958ddad/VM_Fav_LOGO_office-of-Diversity-in-Medical-Education-stacked2-web.png,NA,NA,"Education, Health, Other",<a href = 'https://profiles.stanford.edu/reena-thomas' target='_blank'>Reena Thomas MD PhD</a>,NA,NA,POINT (-122.1791 37.43191),Stanford Medicine,
"Stanford Medicine, Office of Community Engagement ",smoce,https://med.stanford.edu/oce.html,"1701 Page Mill Road, Palo Alto, CA 94304","The mission of OCE is to be a national and international leader in developing innovative models of engagement, nurturing community partnerships, and designing and implementing rigorous projects that promote health equity for diverse populations.

OCE develops partnerships with a broad range of community organizations to understand and address the social, environmental, behavioral, and biological factors that impact population health. They promote and cultivate student, staff, faculty, continuing education, and collaborative community-based research.","https://dl.airtable.com/.attachments/aefa99a2973ca5abec02f308a6fff946/0d75bcb7/StanfordMedicineOfficeofCommunityEngagement.jpeg""",Building & Maintaining Relationships with Communities and Stanford Collaborators,https://med.stanford.edu/oce/partnerships-collaborations.html,"Health, Equity or Socioeconomic Issues, Environment and Sustainability",<a href = 'https://profiles.stanford.edu/lisa-goldman-rosas' target='_blank'>Lisa Goldman Rosas</a>,"Wei ting Chen (wtchen1@stanford.edu), Patricia Rodriguez Espinosa (prespino@stanford.edu)",NA,POINT (-122.153 37.4083),Stanford Medicine,2021
Stanford Institute for Innovation in Developing Economies (Seed),seed,https://www.gsb.stanford.edu/seed,"655 Knight Way, Stanford, CA 94305","Seed is a Stanford GSB-led initiative that’s working to end the cycle of global poverty. We partner with entrepreneurs in emerging markets to build thriving enterprises that transform lives.
",https://dl.airtable.com/.attachments/0f59280a9871faf5226d243a9d37b58f/709791ab/StanfordInstituteforInnovationinDevelopingEconomiesSeed.jpg,"Numbers only tell part of the story. Watch and read inspiring stories about Seed entrepreneurs and their companies, interns, and coaches.",https://www.gsb.stanford.edu/seed/discover-impact/stories,Identity & Human Rights,Jesper Sorensen,Darius F Teter (dteter@stanford.edu),NA,POINT (-122.162 37.42845),Graduate School of Business,
Institute for Immunity Transplantation and Infection (ITI),iti,https://iti.stanford.edu,"Biomedical Innovations Building
240 Pasteur Drive, Palo Alto, CA 94304","At the Institute for Immunity, Transplantation and Infection we seek to leverage decades of leadership at Stanford to achieve a new level of understanding and patient care. We also seek to enhance educational opportunities for students and training at all levels.  We are at the healing edge of medicine, applying a new generation of treatments for some of the most serious diseases of our time. We achieve this by cutting across traditional boundaries to foster multidisciplinary teams of investigators to target every aspect of major diseases from the most basic to the most clinical. In this way, teams of experts can pool their knowledge and strategize about the most promising new ways to detect, prevent and treat immune-mediated and infectious diseases and prevent organ rejection. ",https://dl.airtable.com/.attachments/089d42b543199d1d6963e5f6728a9723/530e7e5c/iti_logo.GIF,The ITI Twin Research Registry at Stanford University School of Medicine is a community-based registry of twins established in 1995 by Dr. Gary Swan at SRI. Twins hold a special place in science as a source of insight into human behavior and genetic links. Fraternal and identical twins and multiples of all ages are invited to join the Registry for consideration for research studies.,https://med.stanford.edu/twin-registry.html,Health,<a href = 'https://profiles.stanford.edu/mark-davis' target='_blank'>Mark M Davis</a>,Randy Soares  (randy.soares@stanford.edu),https://dl.airtable.com/.attachments/d65b73a41e66437e77ae600b97cde45e/f54c7a68/twins-teen-girlsStanford.jpeg,POINT (-122.1773 37.43327),Stanford Medicine,
Stanford Teacher Education Program (STEP),step,https://ed.stanford.edu/step,"CERAS Building, 520 Galvez Mall, Suite 301, Stanford, CA 94305-3084","The Stanford Teacher Education Program (STEP) of the Stanford Graduate School of Education (GSE) aims to cultivate teacher leaders who share a set of core values that includes a commitment to social justice, an understanding of the strengths and needs of a diverse student population, and a dedication to equity and excellence for all students. The program takes an approach to teaching and learning that is sensitive to the family, community, and political contexts of education, focused on the needs and development of learners, and grounded in the study of subject matter that enables inquiry, critical thinking, and problem solving.",https://dl.airtable.com/.attachments/bb62c84a345e37009e96f143c5b480b1/a949c396/step-hor-logo-1000.png,A summer school program draws newly credentialed teachers from the Stanford Teacher Education Program to help address the effects of the pandemic.,https://news.stanford.edu/report/2021/08/23/local-summer-school-draws-new-teachers-stanford/,Education,<a href = 'https://profiles.stanford.edu/ira-lit' target='_blank'>Ira Lit</a>,"Ruth Ann Costanzo (ruthannc@stanford.edu), Nancy Lobell (nlobell@stanford.edu)",https://dl.airtable.com/.attachments/6ca60e0221cb19e6d34ffa2a228def05/0a4a2744/20210722_Lakewood_Elementary_N6A4056.jpg,POINT (-122.167 37.42462),Graduate School of Education,2021
"Program on Water, Health & Development ",pwhd,https://water.stanford.edu/,"473 Via Ortega Drive, Y2E2, Stanford, CA 94305","Stanford's Program on Water, Health and Development is working to improve the health and well-being of communities by creating the knowledge, skills and solutions needed to support effective management of water and wastes, and to ensure sustained, equitable access to water supply and sanitation services.",https://dl.airtable.com/.attachments/4c57c2ea5d11cf968346fd999c6525dd/182c07a5/ProgramonWaterHealthDevelopment.png,Environmental Transmission of COVID-19,https://water.stanford.edu/research/projects/environmental-transmission-covid-19,"Environment and Sustainability, Health, Global",<a href = 'https://profiles.stanford.edu/jennifer-davis' target='_blank'>Jenna Davis</a>,NA,NA,POINT (-122.1759 37.42832),Dean of Research,
Center for Human Rights and International Justice ,chrij,https://humanrights.stanford.edu,"615 Crothers Way, Encina Commons, Stanford, CA 94305","Stanford's Center for Human Rights and International Justice equips a new generation of leaders with the knowledge and skills necessary to protect and promote human rights and dignity for all.

Reflecting a deep commitment to international justice and the rule of law, the Center collaborates with partners across Stanford University and beyond on innovative programs that foster critical inquiry in the classroom and in the world. 

The Center pursues its mission through a range of international programs including justice sector capacity-building initiatives, civil society outreach efforts, trial monitoring, expert consultancies, and archival resource development, with a focus on transitional justice initiatives and new technologies.",https://dl.airtable.com/.attachments/48df0f90e421501f3d88e387844dc031/35c888a0/CenterforHumanRightsandInternationalJustice.png,Stanford students help refugees with their asylum claims at the U.S.-Mexico border,https://news.stanford.edu/2020/01/07/helping-asylum-seekers-u-s-mexico-border/,"Identity & Human Rights, Global",<a href = 'https://profiles.stanford.edu/david-cohen' target='_blank'>David Cohen</a>,"Penelope Van Tuyl (pvantuyl@stanford.edu), Jessie  Brunner (jbrunner@stanford.edu)",NA,POINT (-122.1648 37.42683),School of Humanities & Sciences,
